"name","genes"
"lit.thermogenic","ADBR2"
"lit.thermogenic","ADRB3"
"lit.thermogenic","PPARGC1A"
"lit.thermogenic","UCP1"
"lit.thermogenic","CITED1"
"lit.thermogenic","TBX1"
"lit.thermogenic","TMEM26"
"lit.thermogenic","NDUFS1"
"lit.thermogenic","NDUFS2"
"lit.thermogenic","NDUFS3"
"lit.thermogenic","NDUFB8"
"lit.thermogenic","SDHA"
"lit.thermogenic","SDHB"
"lit.thermogenic","UQCRC2"
"lit.thermogenic","UQCRCH"
"lit.thermogenic","COX4I1"
"lit.thermogenic","COX5B"
"lit.thermogenic","COX6A1"
"lit.thermogenic","COX7C"
"lit.thermogenic","COX8A"
"lit.thermogenic","ATP5B"
"lit.thermogenic","PRDM16"
"lit.thermogenic","CPT1B"
"C2.WP_THERMOGENESIS","ACSL1"
"C2.WP_THERMOGENESIS","ACSL3"
"C2.WP_THERMOGENESIS","ACSL4"
"C2.WP_THERMOGENESIS","ACSL5"
"C2.WP_THERMOGENESIS","ACSL6"
"C2.WP_THERMOGENESIS","ACTB"
"C2.WP_THERMOGENESIS","ACTG1"
"C2.WP_THERMOGENESIS","ACTL6A"
"C2.WP_THERMOGENESIS","ACTL6B"
"C2.WP_THERMOGENESIS","ADCY1"
"C2.WP_THERMOGENESIS","ADCY10"
"C2.WP_THERMOGENESIS","ADCY2"
"C2.WP_THERMOGENESIS","ADCY3"
"C2.WP_THERMOGENESIS","ADCY4"
"C2.WP_THERMOGENESIS","ADCY5"
"C2.WP_THERMOGENESIS","ADCY6"
"C2.WP_THERMOGENESIS","ADCY7"
"C2.WP_THERMOGENESIS","ADCY8"
"C2.WP_THERMOGENESIS","ADCY9"
"C2.WP_THERMOGENESIS","ADRB3"
"C2.WP_THERMOGENESIS","AKT1S1"
"C2.WP_THERMOGENESIS","ARID1A"
"C2.WP_THERMOGENESIS","ARID1B"
"C2.WP_THERMOGENESIS","ATF2"
"C2.WP_THERMOGENESIS","BMP8A"
"C2.WP_THERMOGENESIS","BMP8B"
"C2.WP_THERMOGENESIS","CNR1"
"C2.WP_THERMOGENESIS","CPT1A"
"C2.WP_THERMOGENESIS","CPT1B"
"C2.WP_THERMOGENESIS","CPT1C"
"C2.WP_THERMOGENESIS","CPT2"
"C2.WP_THERMOGENESIS","CREB1"
"C2.WP_THERMOGENESIS","CREB3"
"C2.WP_THERMOGENESIS","CREB3L1"
"C2.WP_THERMOGENESIS","CREB3L2"
"C2.WP_THERMOGENESIS","CREB3L3"
"C2.WP_THERMOGENESIS","CREB3L4"
"C2.WP_THERMOGENESIS","CREB5"
"C2.WP_THERMOGENESIS","DPF1"
"C2.WP_THERMOGENESIS","DPF3"
"C2.WP_THERMOGENESIS","FGF21"
"C2.WP_THERMOGENESIS","FGFR1"
"C2.WP_THERMOGENESIS","FRS2"
"C2.WP_THERMOGENESIS","GCG"
"C2.WP_THERMOGENESIS","GNAS"
"C2.WP_THERMOGENESIS","GRB2"
"C2.WP_THERMOGENESIS","HRAS"
"C2.WP_THERMOGENESIS","KDM1A"
"C2.WP_THERMOGENESIS","KDM3A"
"C2.WP_THERMOGENESIS","KDM3B"
"C2.WP_THERMOGENESIS","KLB"
"C2.WP_THERMOGENESIS","KRAS"
"C2.WP_THERMOGENESIS","LIPE"
"C2.WP_THERMOGENESIS","MAP2K3"
"C2.WP_THERMOGENESIS","MAP3K5"
"C2.WP_THERMOGENESIS","MAPK11"
"C2.WP_THERMOGENESIS","MAPK12"
"C2.WP_THERMOGENESIS","MAPK13"
"C2.WP_THERMOGENESIS","MAPK14"
"C2.WP_THERMOGENESIS","MGLL"
"C2.WP_THERMOGENESIS","MLST8"
"C2.WP_THERMOGENESIS","MTOR"
"C2.WP_THERMOGENESIS","NPR1"
"C2.WP_THERMOGENESIS","NRAS"
"C2.WP_THERMOGENESIS","PLIN1"
"C2.WP_THERMOGENESIS","PNPLA2"
"C2.WP_THERMOGENESIS","PPARG"
"C2.WP_THERMOGENESIS","PPARGC1A"
"C2.WP_THERMOGENESIS","PRDM16"
"C2.WP_THERMOGENESIS","PRKAA1"
"C2.WP_THERMOGENESIS","PRKAA2"
"C2.WP_THERMOGENESIS","PRKAB1"
"C2.WP_THERMOGENESIS","PRKAB2"
"C2.WP_THERMOGENESIS","PRKACA"
"C2.WP_THERMOGENESIS","PRKACB"
"C2.WP_THERMOGENESIS","PRKACG"
"C2.WP_THERMOGENESIS","PRKAG1"
"C2.WP_THERMOGENESIS","PRKAG2"
"C2.WP_THERMOGENESIS","PRKAG3"
"C2.WP_THERMOGENESIS","PRKG1"
"C2.WP_THERMOGENESIS","PRKG2"
"C2.WP_THERMOGENESIS","RHEB"
"C2.WP_THERMOGENESIS","RPS6"
"C2.WP_THERMOGENESIS","RPS6KA1"
"C2.WP_THERMOGENESIS","RPS6KA2"
"C2.WP_THERMOGENESIS","RPS6KA3"
"C2.WP_THERMOGENESIS","RPS6KA6"
"C2.WP_THERMOGENESIS","RPS6KB1"
"C2.WP_THERMOGENESIS","RPS6KB2"
"C2.WP_THERMOGENESIS","RPTOR"
"C2.WP_THERMOGENESIS","SIRT6"
"C2.WP_THERMOGENESIS","SLC25A20"
"C2.WP_THERMOGENESIS","SLC25A29"
"C2.WP_THERMOGENESIS","SMARCA2"
"C2.WP_THERMOGENESIS","SMARCA4"
"C2.WP_THERMOGENESIS","SMARCB1"
"C2.WP_THERMOGENESIS","SMARCC1"
"C2.WP_THERMOGENESIS","SMARCC2"
"C2.WP_THERMOGENESIS","SMARCD1"
"C2.WP_THERMOGENESIS","SMARCD2"
"C2.WP_THERMOGENESIS","SMARCD3"
"C2.WP_THERMOGENESIS","SMARCE1"
"C2.WP_THERMOGENESIS","SOS1"
"C2.WP_THERMOGENESIS","SOS2"
"C2.WP_THERMOGENESIS","TSC1"
"C2.WP_THERMOGENESIS","TSC2"
"C2.WP_THERMOGENESIS","UCP1"
"C2.WP_THERMOGENESIS","ZNF516"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ABHD6"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ACADL"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ACHE"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ACOT11"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ACOT13"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ACSL1"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ACTN3"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ACVR2B"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ADAM17"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ADAMTS5"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ADCYAP1"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ADIPOQ"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ADIPOR1"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ADIPOR2"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ADRB1"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ADRB2"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ADRB3"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ALDH1A1"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ALMS1"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ALPL"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","APC"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","APPL2"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ARNTL"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ARRDC3"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ATF4"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","BMP8A"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","BSCL2"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","CAV1"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","CCR2"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","CD36"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","CEBPB"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","CIDEA"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","CMKLR1"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","CNOT3"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","CPT2"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","CXCR4"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","DBH"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","DDIT3"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","DECR1"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","DHRS7B"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","DIO2"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","DOCK7"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","DYNC1H1"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","EBF2"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","EHMT1"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ELOVL3"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ELOVL6"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","EPAS1"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","ESRRG"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","FABP4"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","FABP5"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","FFAR4"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","FGF21"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","FH"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","FLCN"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","FOXC2"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","G0S2"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","GADD45G"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","GATM"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","GHRL"
"C5.GOBP_ADAPTIVE_THERMOGENESIS","GJA1"
